bin_start,bin_end,total,fast,expanded,solver_fallback,expanded_rate,prime_total,square_total,expanded_primes,expanded_squares,max_t_used,p95_t_used,max_window_used
2,50001,2083,2081,2,0,0.0009601536245799327,5133,222,2,0,256,37,64
50002,100001,2083,2080,3,0,0.0014402304368698992,4459,93,3,0,242,44,64
100002,150001,2084,2080,4,0,0.0019193857965451055,4257,71,4,0,201,49,64
150002,200001,2083,2081,2,0,0.0009601536245799327,4135,60,2,0,250,45,64
200002,250001,2083,2079,4,0,0.0019203072491598655,4060,53,4,0,250,58,64
250002,300001,2084,2079,5,0,0.0023992322456813818,3953,47,3,2,235,55,64
300002,350001,2083,2080,3,0,0.0014402304368698992,3980,44,3,0,255,63,64
350002,400001,2083,2076,7,0,0.003360537686029765,3883,41,7,0,245,58,64
400002,450001,2084,2079,5,0,0.0023992322456813818,3847,38,5,0,254,61,64
450002,500001,2083,2076,7,0,0.003360537686029765,3831,37,7,0,236,65,64
500002,550001,2083,2076,7,0,0.003360537686029765,3784,34,5,2,249,75,64
550002,600001,2084,2079,5,0,0.0023992322456813818,3776,33,4,1,253,65,64
600002,650001,2083,2080,3,0,0.0014402304368698992,3733,32,3,0,253,75,64
650002,700001,2083,2080,3,0,0.0014402304368698992,3713,30,3,0,255,69,64
700002,750001,2084,2079,5,0,0.0023992322456813818,3694,30,5,0,253,77,64
750002,800001,2083,2079,4,0,0.0019203072491598655,3713,28,3,1,253,75,64
800002,850001,2083,2076,7,0,0.003360537686029765,3666,27,6,0,253,77,64
850002,900001,2084,2081,3,0,0.0014395393474088292,3658,27,2,1,254,75,64
900002,950001,2083,2080,3,0,0.0014402304368698992,3632,26,3,0,251,65,64
950002,1000001,2083,2077,6,0,0.0028804608737397984,3591,26,4,2,256,77,64
1000002,1050001,2084,2081,3,0,0.0014395393474088292,3636,24,2,1,253,75,64
1050002,1100001,2083,2079,4,0,0.0019203072491598655,3580,24,3,1,253,68,64
1100002,1150001,2083,2081,2,0,0.0009601536245799327,3588,24,1,0,253,77,64
1150002,1200001,2084,2079,5,0,0.0023992322456813818,3636,23,4,1,303,75,64
1200002,1250001,2083,2076,7,0,0.003360537686029765,3531,23,5,2,367,75,64
1250002,1300001,2083,2078,5,0,0.002400384061449832,3552,22,5,0,255,75,64
1300002,1350001,2084,2083,1,0,0.0004798464491362764,3524,21,1,0,253,84,64
1350002,1400001,2083,2080,3,0,0.0014402304368698992,3581,22,2,1,251,83,64
1400002,1450001,2083,2082,1,0,0.00048007681228996637,3504,21,1,0,253,79,64
1450002,1500001,2084,2074,10,0,0.0047984644913627635,3525,20,9,1,253,77,64
1500002,1550001,2083,2078,5,0,0.002400384061449832,3508,20,4,1,256,85,64
1550002,1600001,2083,2078,5,0,0.002400384061449832,3464,20,4,1,253,83,64
1600002,1650001,2084,2081,3,0,0.0014395393474088292,3508,20,2,1,253,65,64
1650002,1700001,2083,2079,4,0,0.0019203072491598655,3506,19,1,3,250,77,64
1700002,1750001,2083,2078,5,0,0.002400384061449832,3467,19,4,1,253,83,64
1750002,1800001,2084,2078,6,0,0.0028790786948176585,3464,19,5,1,253,83,64
1800002,1850001,2083,2080,3,0,0.0014402304368698992,3470,19,3,0,253,79,64
1850002,1900001,2083,2081,2,0,0.0009601536245799327,3487,18,1,1,253,79,64
1900002,1950001,2084,2080,4,0,0.0019193857965451055,3473,18,4,0,251,85,64
1950002,2000001,2083,2076,7,0,0.003360537686029765,3431,18,5,2,247,65,64
2000002,2050001,2083,2079,4,0,0.0019203072491598655,3449,17,3,1,253,85,64
2050002,2100001,2084,2080,4,0,0.0019193857965451055,3424,18,2,1,253,77,64
2100002,2150001,2083,2079,4,0,0.0019203072491598655,3444,17,4,0,253,87,64
2150002,2200001,2083,2080,3,0,0.0014402304368698992,3412,17,2,1,248,85,64
2200002,2250001,2084,2079,5,0,0.0023992322456813818,3419,17,2,3,247,77,64
2250002,2300001,2083,2075,8,0,0.003840614498319731,3430,16,8,0,253,83,64
2300002,2350001,2083,2080,3,0,0.0014402304368698992,3363,16,2,1,253,79,64
2350002,2400001,2084,2081,3,0,0.0014395393474088292,3429,17,2,1,254,79,64
2400002,2450001,2083,2081,2,0,0.0009601536245799327,3381,16,1,1,253,89,64
2450002,2500001,2083,2081,2,0,0.0009601536245799327,3388,16,2,0,254,79,64
2500002,2550001,2084,2079,5,0,0.0023992322456813818,3391,15,3,1,253,77,64
2550002,2600001,2083,2078,5,0,0.002400384061449832,3417,16,4,1,247,93,64
2600002,2650001,2083,2077,6,0,0.0028804608737397984,3376,15,3,3,253,93,64
2650002,2700001,2084,2077,7,0,0.0033589251439539347,3389,16,5,1,247,89,64
2700002,2750001,2083,2079,4,0,0.0019203072491598655,3348,15,3,1,251,75,64
2750002,2800001,2083,2079,4,0,0.0019203072491598655,3370,15,2,1,253,75,64
2800002,2850001,2084,2080,4,0,0.0019193857965451055,3426,15,4,0,247,77,64
2850002,2900001,2083,2080,3,0,0.0014402304368698992,3320,14,3,0,253,77,64
