bin_start,bin_end,total,fast,expanded,solver_fallback,expanded_rate,prime_total,square_total,expanded_primes,expanded_squares,max_t_used,p95_t_used,max_window_used
2,50001,2083,2083,0,0,0.0,5133,222,0,0,256,37,64
50002,100001,2083,2083,0,0,0.0,4459,93,0,0,242,44,64
100002,150001,2084,2084,0,0,0.0,4257,71,0,0,201,49,64
150002,200001,2083,2083,0,0,0.0,4135,60,0,0,250,45,64
200002,250001,2083,2083,0,0,0.0,4060,53,0,0,250,58,64
250002,300001,2084,2084,0,0,0.0,3953,47,0,0,235,55,64
300002,350001,2083,2083,0,0,0.0,3980,44,0,0,255,63,64
350002,400001,2083,2083,0,0,0.0,3883,41,0,0,245,58,64
400002,450001,2084,2084,0,0,0.0,3847,38,0,0,254,61,64
450002,500001,2083,2083,0,0,0.0,3831,37,0,0,236,65,64
500002,550001,2083,2083,0,0,0.0,3784,34,0,0,249,75,64
550002,600001,2084,2084,0,0,0.0,3776,33,0,0,253,65,64
600002,650001,2083,2083,0,0,0.0,3733,32,0,0,253,75,64
650002,700001,2083,2083,0,0,0.0,3713,30,0,0,255,69,64
700002,750001,2084,2084,0,0,0.0,3694,30,0,0,253,77,64
750002,800001,2083,2083,0,0,0.0,3713,28,0,0,253,75,64
800002,850001,2083,2082,1,0,0.00048007681228996637,3666,27,0,0,253,77,64
850002,900001,2084,2084,0,0,0.0,3658,27,0,0,254,75,64
900002,950001,2083,2083,0,0,0.0,3632,26,0,0,251,65,64
950002,1000001,2083,2083,0,0,0.0,3591,26,0,0,256,77,64
1000002,1050001,2084,2084,0,0,0.0,3636,24,0,0,253,75,64
1050002,1100001,2083,2083,0,0,0.0,3580,24,0,0,253,68,64
1100002,1150001,2083,2082,1,0,0.00048007681228996637,3588,24,0,0,253,77,64
1150002,1200001,2084,2083,1,0,0.0004798464491362764,3636,23,1,0,303,75,64
1200002,1250001,2083,2082,1,0,0.00048007681228996637,3531,23,0,1,367,75,64
1250002,1300001,2083,2083,0,0,0.0,3552,22,0,0,255,75,64
1300002,1350001,2084,2084,0,0,0.0,3524,21,0,0,253,84,64
1350002,1400001,2083,2083,0,0,0.0,3581,22,0,0,251,83,64
1400002,1450001,2083,2083,0,0,0.0,3504,21,0,0,253,79,64
1450002,1500001,2084,2084,0,0,0.0,3525,20,0,0,253,77,64
1500002,1550001,2083,2083,0,0,0.0,3508,20,0,0,256,85,64
1550002,1600001,2083,2083,0,0,0.0,3464,20,0,0,253,83,64
1600002,1650001,2084,2084,0,0,0.0,3508,20,0,0,253,65,64
1650002,1700001,2083,2083,0,0,0.0,3506,19,0,0,250,77,64
1700002,1750001,2083,2083,0,0,0.0,3467,19,0,0,253,83,64
1750002,1800001,2084,2084,0,0,0.0,3464,19,0,0,253,83,64
1800002,1850001,2083,2083,0,0,0.0,3470,19,0,0,253,79,64
1850002,1900001,2083,2083,0,0,0.0,3487,18,0,0,253,79,64
1900002,1950001,2084,2084,0,0,0.0,3473,18,0,0,251,85,64
1950002,2000001,2083,2083,0,0,0.0,3431,18,0,0,247,65,64
2000002,2050001,2083,2083,0,0,0.0,3449,17,0,0,253,85,64
2050002,2100001,2084,2083,1,0,0.0004798464491362764,3424,18,0,0,253,77,64
2100002,2150001,2083,2083,0,0,0.0,3444,17,0,0,253,87,64
2150002,2200001,2083,2083,0,0,0.0,3412,17,0,0,248,85,64
2200002,2250001,2084,2084,0,0,0.0,3419,17,0,0,247,77,64
2250002,2300001,2083,2083,0,0,0.0,3430,16,0,0,253,83,64
2300002,2350001,2083,2083,0,0,0.0,3363,16,0,0,253,79,64
2350002,2400001,2084,2084,0,0,0.0,3429,17,0,0,254,79,64
2400002,2450001,2083,2083,0,0,0.0,3381,16,0,0,253,89,64
2450002,2500001,2083,2083,0,0,0.0,3388,16,0,0,254,79,64
2500002,2550001,2084,2083,1,0,0.0004798464491362764,3391,15,0,0,253,77,64
2550002,2600001,2083,2083,0,0,0.0,3417,16,0,0,247,93,64
2600002,2650001,2083,2083,0,0,0.0,3376,15,0,0,253,93,64
2650002,2700001,2084,2083,1,0,0.0004798464491362764,3389,16,0,0,247,89,64
2700002,2750001,2083,2083,0,0,0.0,3348,15,0,0,251,75,64
2750002,2800001,2083,2082,1,0,0.00048007681228996637,3370,15,0,0,253,75,64
2800002,2850001,2084,2084,0,0,0.0,3426,15,0,0,247,77,64
2850002,2900001,2083,2083,0,0,0.0,3320,14,0,0,253,77,64
